batch_id,temp_c,pressure_bar,cycle_time_s,motor_speed_rpm,material_density,hardness_hrc,feedstock_purity,grid_carbon_intensity,ambient_temp_c,tool_wear_index,yield_pct,quality_score,energy_kwh,carbon_kg
BATCH_00001,68.97,11.15,158.41,2465.8,2.6564,55.22,0.9476,87.79,20.58,0.014,99.8,97.01,22.728,1.995
BATCH_00002,63.89,12.21,179.22,2610.7,2.7439,61.33,0.9757,475.48,20.18,0.0946,99.8,95.45,26.536,12.617
BATCH_00003,70.18,10.92,180.45,2517.4,2.8349,56.39,0.9625,96.62,22.93,0.0733,99.8,96.33,25.58,2.472
BATCH_00004,77.18,11.88,191.82,2635.6,2.7295,47.98,0.9571,147.14,22.03,0.0295,99.8,94.25,25.86,3.805
BATCH_00005,63.13,8.71,145.83,2735.8,2.775,53.05,0.9604,116.31,20.79,0.0514,99.8,97.6,24.767,2.881
BATCH_00006,63.13,12.93,194.81,3051.1,2.806,56.02,0.9703,441.25,31.32,0.1084,99.8,94.3,29.595,13.059
BATCH_00007,77.63,12.5,112.39,2703.7,2.8068,45.48,0.9721,96.63,32.69,0.129,99.08,95.21,23.287,2.25
BATCH_00008,71.14,10.87,164.25,2324.3,2.7539,45.25,0.9428,149.9,22.59,0.0635,99.6,94.72,22.414,3.36
BATCH_00009,61.24,13.82,167.79,3142.0,2.8216,47.2,0.9311,453.33,24.37,0.0,99.8,95.49,28.376,12.864
BATCH_00010,69.34,14.38,195.83,2548.9,2.7283,49.28,0.9324,149.62,23.25,0.0659,99.8,96.21,27.874,4.17
BATCH_00011,61.29,9.28,180.57,2782.4,2.8277,52.3,0.9705,132.31,28.43,0.0919,99.8,96.26,26.333,3.484
BATCH_00012,61.27,10.97,144.86,2934.0,2.698,53.29,0.989,127.25,29.22,0.0639,99.8,96.23,25.133,3.198
BATCH_00013,66.94,10.96,155.38,2859.9,2.706,47.35,0.9524,89.6,16.89,0.0845,99.8,96.15,24.649,2.209
BATCH_00014,49.69,10.62,184.97,3128.3,2.6606,56.45,0.9334,494.14,25.9,0.0701,99.8,95.36,29.218,14.438
BATCH_00015,51.2,14.16,178.02,2943.7,2.8091,55.13,0.9798,102.9,18.77,0.0069,99.8,95.84,28.621,2.945
BATCH_00016,60.5,12.11,165.52,2541.6,2.7334,50.01,0.9858,475.84,31.03,0.0213,99.8,96.03,24.838,11.819
BATCH_00017,56.9,11.97,167.98,3453.6,2.6958,45.23,0.9896,460.32,25.76,0.0444,99.8,96.2,29.018,13.358
BATCH_00018,67.51,8.49,197.4,2858.3,2.6964,46.32,0.9679,488.87,20.71,0.1003,99.67,95.93,26.864,13.133
BATCH_00019,57.74,13.77,167.06,2755.8,2.8303,51.66,0.988,344.46,23.03,0.0275,99.8,96.73,25.756,8.872
BATCH_00020,53.7,10.02,177.8,3089.2,2.8168,47.62,0.9212,396.11,22.84,0.0768,99.8,96.09,27.217,10.781
BATCH_00021,76.73,12.62,234.25,2874.8,2.7607,51.41,0.9285,133.92,26.1,0.0712,98.94,95.37,30.045,4.024
BATCH_00022,63.19,13.05,144.41,2919.8,2.7732,55.68,0.9273,135.32,28.17,0.1229,99.8,95.62,27.067,3.663
BATCH_00023,65.54,15.22,133.7,3547.7,2.7449,54.3,0.9763,104.62,19.41,0.0582,99.8,94.95,28.78,3.011
BATCH_00024,53.6,9.88,199.59,2717.5,2.7283,48.93,0.9255,457.55,31.36,0.0,99.8,96.15,25.636,11.73
BATCH_00025,60.64,6.46,163.03,2704.7,2.8331,50.84,0.9592,422.73,30.42,0.0867,99.8,97.21,24.31,10.277
BATCH_00026,65.89,12.87,172.04,2835.0,2.6751,55.44,0.9573,127.55,20.5,0.1468,99.8,96.44,28.744,3.666
BATCH_00027,55.79,16.1,160.47,3121.5,2.7337,59.63,0.9445,103.77,24.29,0.0902,99.8,95.18,27.046,2.807
BATCH_00028,68.01,14.98,173.5,2348.0,2.7189,57.8,0.9888,96.72,30.84,0.0306,99.8,96.81,27.18,2.629
BATCH_00029,60.19,12.92,219.96,2210.3,2.7496,54.41,0.9335,416.87,28.93,0.0193,99.8,95.66,26.797,11.171
BATCH_00030,62.67,11.52,200.05,2623.9,2.7415,51.16,0.9478,125.44,22.65,0.0249,99.8,96.71,26.236,3.291
BATCH_00031,60.19,14.11,201.56,2309.8,2.7538,51.21,0.9812,427.09,27.26,0.1436,99.54,95.63,26.973,11.52
BATCH_00032,79.82,10.55,144.59,2672.6,2.678,59.95,0.9224,84.04,35.99,0.0509,98.86,94.04,23.119,1.943
BATCH_00033,64.89,13.45,151.22,2950.7,2.7526,45.67,0.9732,88.25,24.42,0.0379,99.8,95.48,26.241,2.316
BATCH_00034,56.54,13.51,109.02,2532.8,2.6985,61.8,0.9845,149.9,21.47,0.0585,99.8,95.51,22.267,3.338
BATCH_00035,71.58,14.62,159.77,2372.0,2.6869,56.29,0.9936,104.67,24.69,0.0526,99.68,94.43,24.532,2.568
BATCH_00036,55.23,18.02,203.92,2820.8,2.663,56.58,0.9892,420.82,24.99,0.1285,99.8,96.51,31.092,13.084
BATCH_00037,66.67,13.28,192.92,3058.8,2.8025,45.65,0.9452,156.26,21.9,0.0256,99.55,96.37,29.392,4.593
BATCH_00038,49.32,11.48,174.46,2291.5,2.7355,55.29,0.9663,91.95,25.77,0.1139,99.8,96.43,24.793,2.28
BATCH_00039,54.37,12.45,179.44,3046.1,2.7753,53.24,0.9261,101.83,18.98,0.072,99.8,96.28,28.708,2.923
BATCH_00040,66.57,8.96,162.78,3045.2,2.7955,46.8,0.9404,466.97,21.34,0.1158,99.8,95.24,25.799,12.047
