recipe_id,temp_c,pressure_bar,cycle_time_s,motor_speed_rpm,yield_pct,quality_score,energy_kwh,carbon_kg,pareto_rank
RECIPE_OPT_001,52.4,8.2,121.27,2267.7,99.4,94.82,23.152,4.63,1
RECIPE_OPT_002,47.11,8.16,126.11,2620.2,99.39,95.15,23.22,4.644,1
RECIPE_OPT_003,67.56,17.53,145.72,3382.9,99.59,95.19,27.603,5.521,1
RECIPE_OPT_004,68.08,8.2,121.27,2267.7,99.43,94.64,23.168,4.634,1
RECIPE_OPT_005,68.06,17.64,151.94,3379.1,99.59,95.3,27.707,5.541,1
RECIPE_OPT_006,67.94,17.89,152.55,2708.2,99.55,95.88,26.564,5.313,1
RECIPE_OPT_007,68.08,17.9,145.38,2980.5,99.57,95.73,26.876,5.375,1
RECIPE_OPT_008,59.44,9.98,149.98,2296.2,99.53,94.8,24.753,4.951,1
RECIPE_OPT_009,51.91,12.13,120.41,2251.0,99.4,95.08,24.025,4.805,1
RECIPE_OPT_010,48.34,17.96,145.5,3182.5,99.56,95.77,27.246,5.449,1
RECIPE_OPT_011,68.05,9.86,121.45,2727.7,99.45,94.81,23.508,4.702,1
RECIPE_OPT_012,45.32,17.95,146.3,2298.3,99.54,95.52,26.076,5.215,1
RECIPE_OPT_013,68.54,14.39,149.43,2292.6,99.51,95.09,25.504,5.101,1
RECIPE_OPT_014,48.36,12.53,145.95,2178.5,99.49,95.25,25.194,5.039,1
RECIPE_OPT_015,68.05,17.9,126.67,2729.4,99.46,95.63,25.276,5.055,1
RECIPE_OPT_016,68.35,9.71,145.36,2234.5,99.51,94.78,24.55,4.91,1
RECIPE_OPT_017,48.36,12.79,145.95,2174.2,99.5,95.25,25.334,5.067,1
RECIPE_OPT_018,48.91,8.24,148.18,2716.7,99.49,95.37,24.677,4.935,1
RECIPE_OPT_019,68.35,9.85,122.96,2236.2,99.47,94.68,23.34,4.668,1
RECIPE_OPT_020,68.54,14.39,125.73,2290.8,99.43,94.93,24.313,4.863,1
RECIPE_OPT_021,67.68,17.8,145.38,2980.5,99.57,95.24,26.862,5.372,1
RECIPE_OPT_022,48.32,16.32,146.56,2425.6,99.52,95.34,25.804,5.161,1
RECIPE_OPT_023,45.32,16.33,146.3,2292.4,99.52,95.24,25.786,5.157,1
RECIPE_OPT_024,66.88,14.8,125.59,2368.0,99.44,94.91,24.391,4.878,1
RECIPE_OPT_025,63.99,17.64,145.21,2299.0,99.56,95.15,26.044,5.209,1
RECIPE_OPT_026,67.83,17.96,145.22,2723.2,99.55,95.86,26.304,5.261,1
RECIPE_OPT_027,64.26,9.59,122.91,2620.5,99.41,94.72,23.265,4.653,1
RECIPE_OPT_028,64.66,9.86,121.4,2727.7,99.45,94.79,23.459,4.692,1
RECIPE_OPT_029,68.53,17.99,145.2,2694.1,99.54,95.86,26.302,5.26,1
RECIPE_OPT_030,48.42,8.19,148.18,2716.7,99.49,95.47,24.695,4.939,1
RECIPE_OPT_031,68.35,17.97,144.42,2638.9,99.47,95.64,25.794,5.159,1
RECIPE_OPT_032,48.34,17.96,152.2,3179.9,99.56,95.82,27.399,5.48,1
RECIPE_OPT_033,68.32,8.2,148.96,2980.5,99.52,94.97,25.48,5.096,1
RECIPE_OPT_034,66.88,14.8,125.59,2237.3,99.44,94.88,24.382,4.876,1
RECIPE_OPT_035,53.11,9.85,121.28,2723.2,99.42,94.88,23.468,4.694,1
RECIPE_OPT_036,64.43,17.96,145.14,2723.2,99.55,95.79,26.209,5.242,1
RECIPE_OPT_037,48.36,12.55,126.68,2178.5,99.4,95.15,24.07,4.814,1
RECIPE_OPT_038,64.44,14.16,149.37,2321.6,99.52,95.04,25.494,5.099,1
RECIPE_OPT_039,48.34,17.96,152.2,3179.9,99.56,95.82,27.399,5.48,1
RECIPE_OPT_040,64.26,17.54,149.2,2299.0,99.56,95.22,26.213,5.243,1
